ref,location,subject,back_word_1,back_word_2,back_word_3,title
042fac3e,50,protein,0,0,whey,1
042fac3e,116,whey,nciador,2247,880,1
042fac3e,121,protein,2274,2247,880,1
042fac3e,430,whey,ercícios,1506,696,1
042fac3e,435,protein,ios,1506,696,1
042fac3e,469,protein,tein,2144,2958,1
042fac3e,493,whey,ormas,2582,720,1
042fac3e,508,whey,720,1054,2945,1
042fac3e,513,protein,1054,2945,1054,1
042fac3e,534,protein,1820,whey,protein,1
042fac3e,554,whey,ncentrate,2582,1807,1
042fac3e,569,whey,1807,1054,2945,1
042fac3e,574,protein,1054,2945,1054,1
042fac3e,592,protein,1871,whey,protein,1
042fac3e,616,whey,1861,2582,hidrolisada,1
042fac3e,631,whey,hidrolisada,1054,2945,1
042fac3e,636,protein,1054,2945,1054,1
042fac3e,734,protein,oncentração,890,184,1
042fac3e,829,whey,0,1,2456,1
042fac3e,834,protein,0,2456,890,1
042fac3e,1023,whey,écnicasproteína,720,1054,1
042fac3e,1044,protein,1054,2945,1054,1
042fac3e,1064,whey,1820,wpc,2582,1
042fac3e,1085,protein,1054,2945,1054,1
042fac3e,1109,whey,wpi,2582,hidrolisada,1
042fac3e,1332,protein,n,3216,2138,1
042fac3e,1344,whey,2138,1359,880,1
0430f01c,27,chocolate,0,isofort,2829,1
0430f01c,90,iso,358,2138,1450,1
0430f01c,130,iso,1134,2957,1507,1
0430f01c,256,iso,1,358,2138,1
0430f01c,296,iso,1134,2957,1507,1
0430f01c,465,iso,3023,890,1039,1
0430f01c,629,iso,3023,890,1039,1
0430f01c,689,iso,292,2222,2013,1
0430f01c,761,iso,áxima,21,890,1
0430f01c,772,iso,ção,890,2213,1
0430f01c,786,iso,3052,isofort,2304,1
0430f01c,830,iso,1134,2957,1455,1
0430f01c,853,iso,292,2222,2013,1
0430f01c,926,iso,xima,21,890,1
0430f01c,951,iso,1548,1093,g,1
0430f01c,970,iso,1134,2957,1455,1
0430f01c,999,iso,2977,1134,2957,1
0430f01c,1091,iso,1548,1093,g,1
0430f01c,1139,iso,2977,1134,2957,1
0430f01c,1234,iso,roteína,vegana,491,1
0430f01c,1358,iso,651,2189,491,1
0430f01c,1521,iso,1007,whey,protein,1
0430f01c,1877,chocolate,2188,2822,2173,1
0430f01c,1884,chocolate,2188,2822,2173,1
0430f01c,3791,iso,2582,890,2945,1
0430f01c,3813,iso,1054,1871,1807,1
04b72e48,37,vitamina q,2989,2619,890,1
04b72e48,50,vitamina q,2619,890,3271,1
04b72e48,1343,vitamina q,0,2355,744,1
04b72e48,1367,vitamina q,671,632,q,1
04b72e48,2204,vitamina q,0,0,1,1
04b72e48,3190,vitamina q,0,iabetes,1,1
04b72e48,3812,vitamina q,2041,1058,1574,1
04b72e48,4765,vitamina q,247,281,3234,1
04b72e48,5161,vitamina q,1735,3331,890,1
04b72e48,5191,vitamina q,632,q,180,1
04ba683b,29,bcaa,bcaa,1134,3006,1
04ba683b,123,bcaa,155,724,890,1
04ba683b,252,bcaa,1882,1093,l,1
04ba683b,562,bcaa,ução,1065,3025,1
04ba683b,954,bcaa,1882,1093,l,1
04ba683b,1264,bcaa,ução,1065,3025,1
